y1: [1041.1734999999999, 546.2566666666667, 272.7323333333333, 124.51266666666666, 72.21766666666666, 37.891, 28.555666666666667, 21.9275, 18.636166666666664, 18.034333333333333, 17.314166666666665]
y2: [471.6933333333333, 236.24633333333333, 131.73233333333332, 59.839166666666664, 36.97833333333333, 22.456, 21.129833333333334, 17.955166666666667, 17.242166666666666, 16.668333333333333, 16.444]
y3: [322.44, 161.9315, 81.93166666666666, 43.33983333333333, 29.58083333333333, 22.101499999999998, 20.313666666666666, 18.07, 16.800333333333334, 16.405666666666665, 16.305]
y4: [254.13416666666666, 127.34316666666666, 63.677166666666665, 32.999, 22.884, 20.590666666666667, 17.705333333333332, 17.029666666666667, 16.3005, 16.07133333333333, 16.232666666666667]
y5: [210.37866666666665, 108.39183333333332, 53.437333333333335, 36.326166666666666, 26.211333333333332, 20.477666666666664, 17.7095, 16.5965, 16.216833333333334, 16.06383333333333, 16.161833333333334]
y6: [183.62, 92.2085, 46.22083333333333, 31.669666666666664, 22.6145, 20.128166666666665, 17.8935, 16.741, 16.140166666666666, 15.984333333333332, 16.137666666666664]
y7: [164.44683333333333, 81.71483333333333, 41.53366666666667, 28.181166666666666, 19.8975, 17.604166666666668, 16.951833333333333, 16.451, 16.087, 15.979999999999999, 16.098499999999998]
y8: [150.4565, 75.63266666666667, 37.20316666666667, 25.106833333333334, 21.516166666666667, 17.756333333333334, 17.096999999999998, 16.284166666666668, 15.995666666666667, 15.994833333333332, 16.086166666666667]
y9: [210.04933333333332, 103.78949999999999, 51.544, 29.321166666666667, 20.137833333333333, 17.971166666666665, 17.43, 16.462, 16.053833333333333, 16.017666666666667, 16.065833333333334]
y10: [191.50166666666667, 96.556, 49.6, 29.179666666666666, 21.072666666666667, 17.9465, 16.740166666666667, 16.28333333333333, 16.034166666666668, 15.965, 16.030833333333334]
